id,person_id,book_id,quantity,date
1,8803,80332,4,2020-08-11
2,7409,10161,5,2020-09-12
3,6692,57937,2,2020-05-01
4,2255,94377,2,2020-11-13
5,4366,53942,2,2020-04-05
6,9047,88167,1,2020-03-29
7,6517,51767,5,2020-06-09
8,5393,80883,2,2020-03-03
9,3268,1319,1,2020-04-09
10,2717,9106,2,2020-10-04
11,5152,41106,1,2020-03-29
12,7489,60820,1,2020-07-03
13,6457,60311,2,2020-09-23
14,2967,76159,5,2020-06-06
15,825,76731,2,2020-11-21
16,4789,67215,4,2020-05-19
17,5258,77979,5,2020-10-31
18,517,30313,2,2020-01-26
19,1234,54079,1,2020-02-09
20,2925,16023,3,2020-12-03
21,9435,88951,5,2020-05-25
22,8097,17976,1,2020-06-16
23,6137,15904,4,2020-11-21
24,7114,60186,3,2020-11-18
25,5650,58032,4,2020-09-05
26,4269,77201,4,2020-01-08
27,7668,169,5,2020-12-18
28,5980,11416,4,2020-05-06
29,7256,62820,4,2020-02-24
30,8461,8122,4,2020-01-06
31,7199,65022,1,2020-08-22
32,2863,76413,4,2020-06-16
33,6082,94300,2,2020-03-05
34,4968,84891,5,2020-04-21
35,111,30471,1,2020-02-25
36,9857,46218,4,2020-06-02
37,4398,82685,5,2020-09-14
38,644,9314,1,2020-02-29
39,7326,84289,1,2020-06-10
40,6016,73629,1,2020-12-08
41,2374,23536,2,2020-03-31
42,3408,82412,3,2020-07-18
43,2474,12474,1,2020-05-06
44,1097,89224,5,2020-12-12
45,434,81130,2,2020-08-16
46,3406,96202,4,2020-03-24
47,3920,89859,3,2020-08-21
48,5833,92325,4,2020-12-07
49,8689,15672,5,2020-04-28
50,2108,81492,1,2020-11-12
51,9833,47877,1,2020-02-26
52,4347,37089,3,2020-08-27
53,2678,95597,5,2020-09-28
54,1527,31162,5,2020-02-27
55,5848,3768,1,2020-06-26
56,9518,61130,4,2020-12-16
57,2625,88939,3,2020-07-13
58,2945,5404,3,2020-09-13
59,6738,21530,4,2020-09-11
60,7026,14879,5,2020-09-13
61,5469,9140,2,2020-11-27
62,4605,29019,4,2020-12-23
63,385,52897,5,2020-08-05
64,1290,70362,2,2020-08-15
65,6446,32787,3,2020-11-16
66,3776,8840,5,2020-12-06
67,5554,12344,2,2020-11-21
68,7306,74189,3,2020-12-17
69,6502,84835,1,2020-01-15
70,3914,9074,4,2020-03-02
71,5687,67578,4,2020-03-06
72,3857,46166,3,2020-04-14
73,4925,85420,2,2020-09-04
74,8089,81762,5,2020-09-12
75,1315,54819,1,2020-09-26
76,4752,5962,5,2020-08-24
77,4095,91478,4,2020-04-04
78,1268,45181,1,2020-03-28
79,259,58192,2,2020-07-02
80,1809,529,4,2020-11-23
81,4593,849,3,2020-07-30
82,5808,29147,5,2020-02-28
83,1882,9358,5,2020-11-11
84,8044,32511,2,2020-12-02
85,2004,22989,3,2020-02-15
86,4636,26043,2,2020-04-16
87,3597,27049,1,2020-06-12
